sep=;
00_source_count;00_target_count;01_source_aabb_max_x;01_source_aabb_max_y;01_source_aabb_max_z;01_source_aabb_min_x;01_source_aabb_min_y;01_source_aabb_min_z;01_target_aabb_max_x;01_target_aabb_max_y;01_target_aabb_max_z;01_target_aabb_min_x;01_target_aabb_min_y;01_target_aabb_min_z;02_Bit_count_AtoB;02_Bit_count_BtoA;04_HD;05_Performance(ms);05__01_index_time;05__02_filtering_time;05__03_computing_time;08_cand1_x;08_cand1_y;08_cand1_z;08_cand2_x;08_cand2_y;08_cand2_z;
22328;22328;-0.108305;-0.050464;-0.197116;-0.108305;-0.050464;-0.197116;-0.003778;-0.050464;-0.197116;-0.003778;-0.050464;-0.197116;4;4;0.104537;57.2386;1.6014;9.6586;41.6179;0.201072;-0.008782;-0.136186;0.096539;-0.009243;-0.13692;
22328;22328;-0.108305;-0.050464;-0.197116;-0.108305;-0.050464;-0.197116;-0.003778;-0.050464;-0.197116;-0.003778;-0.050464;-0.197116;4;4;0.104537;58.1341;2.2818;11.2825;39.8322;0.201072;-0.008782;-0.136186;0.096539;-0.009243;-0.13692;
